	gene_name	label	10uM_K99A vs. No_Peptide logFC	100uM_K99A vs. No_Peptide logFC	0_1uM_PCC vs. No_Peptide logFC	10uM_PCC vs. No_Peptide logFC
NM_001081445	Ncam1	0	0.0244270024806426	2.03634113615142	2.79817003448052	4.8598060963659195
NM_009027	Rasgrf2	0	0.21510150891015303	2.52318446853403	3.2288070339756203	2.78511258516636
NM_198028	Serpinb10	0	0.224668642065614	2.62434481681638	2.37329344846658	4.97743901278895
NM_009769	Klf5	0	0.252321420776097	2.11989473934222	2.6476642670293	4.22701150935799
NM_001033431	Nlrp12	0	0.25469796947954504	2.2146531160532503	2.3908814267451404	4.86266063073766
NM_153511	Il1f9	0	0.284097122736616	1.95080071422085	2.20063336963695	4.26550428460629
NM_080462	Hnmt	0	0.309962140555931	2.50351522191881	2.88594173601672	5.39597967955377
NM_175648	Trim30b	0	0.333141589920932	2.7624899732132	2.42101397749365	3.5123984706983298
NM_001111058	Cd33	0	0.342819803255354	2.283019226805	2.4996616395369	4.598082677907019
NM_146208	Neil3	0	0.38411122916341706	2.5866198669711205	2.7537172004557995	4.32880034100683
NM_001167860	Wipf3	0	0.392325987778478	2.20912383425749	2.3130600523625096	3.38311780236884
NM_001161765	Fmo5	0	0.39411390063544	2.0509746665899398	2.7652455623995094	3.4288082888409304
NM_001170851	Klra2	0	0.399833404136691	2.8417856132677697	3.5247639966914703	4.28652893072809
NM_009912	Ccr1	0	0.401720129548252	1.94792103387373	2.33062291325419	4.03349004192037
NM_001198955	Gm7694	0	0.40194562509239395	2.28845400760438	2.29119133460417	4.065329683070891
NM_177583	Aph1b	0	0.41700926745142697	2.1387847366928	2.21817689680524	3.54850838038782
NM_001082547	Gm5483	0	0.42357494417634795	1.83497819320633	2.34066356670771	4.284300288778
NM_001077496	Evi2b	0	0.432675706372346	2.24867310442433	2.41732811326498	3.6298948586069195
NM_010630	Kifc2	0	0.436946027370284	2.45905816240799	3.24276582315444	3.14698480121294
NM_019823	Cyp2d22	0	0.439121852579734	2.5450389707720698	3.10293405889104	3.0213491315140097
NM_172771	Dmxl2	0	0.440135224409812	2.04626961416356	2.13045910216597	4.03997390714131
NM_009909	Cxcr2	0	0.45064802175680696	2.57537312510438	2.9491201267313	5.326102466607731
NM_146023	Evi2a-evi2b	0	0.454499761298401	2.23548410253555	2.42316661371027	3.6132022547956097
NM_008425	Kcnj2	0	0.461938885444448	2.53752173912416	2.45537250097359	2.7889749668137904
NM_001081072	Slc27a6	0	0.46207413383283796	2.2913711883744	2.85391650690694	3.48251617625166
NM_139232	Fgd4	0	0.463177169397558	2.5824182003668903	2.9248888034085603	4.7260313387116
NM_030209	Crispld2	0	0.46700027481937795	1.90465206434762	2.36384177668612	3.9131594181677203
NM_001166625	Ccr9	0	0.46971544858110703	2.07727084450201	2.22995690590494	4.95024452661451
NM_030174	Mctp1	0	0.47580933142639203	2.3882062642563398	3.04926788706749	4.37304882634109
NM_001171003	Mgam	0	0.483059357713523	2.24757767695956	2.7550670078027304	4.01491580687601
NM_007782	Csf3r	0	0.48521007573403	2.60097575587319	2.8197216418309505	5.1413076390662
NM_001085501	Ppp1r3d	0	0.48557612154426394	2.26712841406565	2.3860241586689503	3.8304961890841
NM_172887	Fry	0	0.488767412633933	2.2747051935751497	2.28339263824318	3.1317882226194604
NM_008939	Prss12	0	0.4911470962996571	2.20844467226094	2.62874455159925	3.2756941014383503
